station,school,a_teen,a_college,a_adult,a_mid,a_old,a_unkown,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total,public,cc,private,school_a_teen,school_a_college,school_a_adult,school_a_mid,school_a_old,school_a_unkown,school_r_native,school_r_asian,school_r_black,school_r_latino,school_r_unknown,school_r_white,school_sex_f,school_s_m,school_sex_u,school_total,school_name,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,sex_m,sex_u,total
23 STREET,baruch,8,213,273,135,17,4,2,60,146,245,38,159,138,510,2,650,1,0,0,,,,,,,,,,,,,,,,,Baruch College,0.1,39.0,10.0,29.0,5.0,17.9,49.0,51.0,0.0,18000.0
23 STREET-ELY AVENUE,sva,0,8,24,4,0,0,0,2,1,27,2,4,10,26,0,36,0,0,1,,,,,,,,,,,,,,,,,School of Visual Arts (SVA),0.2,14.0,6.0,10.0,5.0,64.8,60.0,40.0,0.0,4000.0
FLATBUSH AVE.-BROOKLYN COLLEGE,brooklyn_college,8,134,157,70,7,3,0,18,237,78,8,38,95,284,0,379,1,0,0,,,,,,,,,,,,,,,,,Brooklyn College,0.2,15.0,24.0,27.0,4.0,29.8,58.0,42.0,0.0,17000.0
137 ST.-CITY COLLEGE,ccny,2,125,195,62,8,1,1,11,109,183,18,71,73,319,1,393,1,0,0,,,,,,,,,,,,,,,,,City College of New York (CCNY),0.2,22.0,21.0,35.0,3.0,18.8,47.0,53.0,0.0,16000.0
68 ST.-HUNTER COLLEGE,hunter,14,257,216,115,4,1,4,87,99,223,18,176,213,391,3,607,1,0,0,,,,,,,,,,,,,,,,,Hunter College,0.2,20.0,11.0,27.0,4.0,37.8,68.0,32.0,0.0,23000.0
59 ST.-COLUMBUS CIRCLE,john_jay,106,1800,1898,572,82,24,12,462,884,1755,162,1207,1290,3180,12,4482,1,0,0,,,,,,,,,,,,,,,,,John Jay College,0.2,10.0,19.0,41.0,3.0,26.8,53.0,47.0,0.0,15000.0
BEDFORD PK. BLVD.,lehman,0,8,15,2,0,0,0,0,4,19,1,1,4,21,0,25,1,0,0,,,,,,,,,,,,,,,,,Lehman College,0.2,7.0,31.0,53.0,2.0,6.8,65.0,35.0,0.0,14000.0
BEDFORD PK. BLVD.-LEHMAN COLLEGE,lehman,3,53,111,62,3,0,0,3,52,166,4,7,17,215,0,232,1,0,0,,,,,,,,,,,,,,,,,Medgar Evers College,0.2,3.0,85.0,10.0,1.0,0.8,70.0,30.0,0.0,6000.0
FRANKLIN AVENUE,medgar_evers,2,183,335,99,2,1,0,43,249,137,17,176,159,460,3,622,1,0,0,,,,,,,,,,,,,,,,,New York City College of Technology (City Tech),0.2,21.0,33.0,32.0,2.0,11.8,40.0,60.0,0.0,17000.0
PRESIDENT STREET,medgar_evers,0,11,8,4,2,1,0,1,12,10,1,2,4,21,1,26,1,0,0,,,,,,,,,,,,,,,,,Queens College,0.2,28.0,10.0,25.0,4.0,32.8,55.0,45.0,0.0,20000.0
JAY STREET-BOROUGH HALL,city_tech,34,654,532,193,18,5,9,278,469,338,76,266,406,1022,8,1436,1,0,0,,,,,,,,,,,,,,,,,York College,0.2,23.0,38.0,25.0,2.0,11.8,62.0,38.0,0.0,8500.0
FLUSHING AVENUE,queens_college,2,106,188,58,7,1,0,19,116,124,9,94,69,292,1,362,1,0,0,,,,,,,,,,,,,,,,,Borough of Manhattan Community College (BMCC),0.2,15.0,33.0,40.0,2.0,9.8,57.0,43.0,0.0,26000.0
PARSONS/ARCHER-JAMAICA CENTER,york,3,56,75,31,0,1,0,2,71,75,15,3,22,143,1,166,1,0,0,,,,,,,,,,,,,,,,,Bronx Community College (BCC),0.2,2.0,33.0,62.0,1.0,1.8,59.0,41.0,0.0,11000.0
CHAMBERS STREET,bmcc,8,94,115,34,6,0,1,26,80,104,2,44,66,191,0,257,1,1,0,,,,,,,,,,,,,,,,,Hostos Community College,0.2,1.0,30.0,68.0,0.5,0.3,66.0,34.0,0.0,7000.0
BURNSIDE AVENUE,bcc,4,109,159,52,9,2,1,2,156,157,5,14,29,305,1,335,1,1,0,,,,,,,,,,,,,,,,,Kingsborough Community College (KBCC),0.2,12.0,24.0,22.0,3.0,38.8,55.0,45.0,0.0,15000.0
149 ST.-GRAND CONCOURSE,hostos,3,120,278,135,9,2,0,9,255,242,4,37,85,460,2,547,1,1,0,,,,,,,,,,,,,,,,,LaGuardia Community College (LaGCC),0.2,24.0,18.0,42.0,2.0,13.8,53.0,47.0,0.0,19000.0
SHEEPSHEAD BAY,kbcc,7,102,130,66,4,0,1,25,52,58,18,155,82,224,3,309,1,1,0,,,,,,,,,,,,,,,,,Columbia University,0.2,16.0,6.0,13.0,5.0,59.8,50.0,50.0,0.0,33000.0
33 STREET,lagcc,20,523,716,241,31,6,7,173,291,730,55,281,365,1166,6,1537,1,1,0,,,,,,,,,,,,,,,,,New York University (NYU),0.2,16.0,8.0,13.0,4.0,58.8,58.0,42.0,0.0,51000.0
116 ST.-COLUMBIA UNIVERSITY,columbia,4,219,80,16,4,1,2,103,44,60,10,105,114,208,2,324,0,0,1,,,,,,,,,,,,,,,,,Fordham University,0.2,10.0,5.0,16.0,3.0,65.8,54.0,46.0,0.0,16000.0
8 ST.-NYU,nyu,0,12,13,3,4,0,1,7,8,6,5,5,7,25,0,32,0,0,1,,,,,,,,,,,,,,,,,The New School,0.2,8.0,5.0,13.0,5.0,68.8,68.0,32.0,0.0,10000.0
FORDHAM ROAD,fordham,2,102,254,122,10,1,0,9,134,310,14,24,38,453,0,491,0,0,1,,,,,,,,,,,,,,,,,Pace University,0.2,10.0,14.0,18.0,5.0,52.8,62.0,38.0,0.0,13000.0
14 ST.-UNION SQUARE,the_new_school,1,49,68,17,1,0,1,19,27,48,8,33,35,101,0,136,0,0,1,,,,,,,,,,,,,,,,,St. John's University,0.2,15.0,15.0,17.0,3.0,49.8,55.0,45.0,0.0,21000.0
FULTON STREET,pace,16,398,483,166,17,0,6,78,367,397,30,202,278,800,2,1080,0,0,1,,,,,,,,,,,,,,,,,Yeshiva University,0.2,3.0,2.0,4.0,1.0,89.8,44.0,56.0,0.0,6000.0
CLINTON-WASHINGTON AVENUES,st_johns,0,60,95,27,2,0,0,15,36,55,5,73,63,121,0,184,0,0,1,,,,,,,,,,,,,,,,,Juilliard School,0.2,15.0,5.0,10.0,5.0,64.8,50.0,50.0,0.0,1000.0
181 STREET,yeshiva,0,29,39,21,1,0,0,3,19,52,0,16,23,66,1,90,0,0,1,,,,,,,,,,,,,,,,,Manhattan College,0.2,5.0,5.0,20.0,2.0,67.8,47.0,53.0,0.0,4000.0
66 ST.-LINCOLN CENTER,julliard,0,14,10,8,3,0,0,3,9,12,1,10,6,29,0,35,0,0,1,,,,,,,,,,,,,,,,,St. Francis College,0.2,5.0,15.0,25.0,3.0,51.8,52.0,48.0,0.0,2600.0
242 ST.-VAN CORTLANDT PARK,manhattan_college,0,57,68,34,0,1,0,4,34,101,1,20,29,131,0,160,0,0,1,,,,,,,,,,,,,,,,,Long Island University Brooklyn (LIU Brooklyn),0.2,5.0,40.0,20.0,3.0,31.8,70.0,30.0,0.0,7000.0
BOROUGH HALL,st_francis,2,38,55,25,4,0,1,9,54,27,4,29,31,93,0,124,0,0,1,,,,,,,,,,,,,,,,,Vaughn College of Aeronautics and Technology,0.2,12.0,16.0,34.0,2.0,35.8,20.0,80.0,0.0,1700.0
NEVINS STREET,liu_brooklyn,0,38,70,21,2,0,0,12,67,32,2,18,27,104,0,131,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
DITMARS BLVD.-ASTORIA,vaughn,3,75,78,15,0,0,0,11,16,93,12,39,32,139,0,171,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
